graph_csv,graph_name,is_dag,n_nodes,n_directed_edges,Vigorous_Activity_to_BMI_has_path,Vigorous_Activity_to_BMI_path,Total_Calories_to_BMI_has_path,Total_Calories_to_BMI_path,Protein_g_to_BMI_has_path,Protein_g_to_BMI_path,Carbohydrates_g_to_BMI_has_path,Carbohydrates_g_to_BMI_path,all_treatments_have_path_to_outcome
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers_edges.csv,directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,True,14,56,True,Vigorous_Activity -> BMI,True,Total_Calories -> BMI,True,Protein_g -> BMI,True,Carbohydrates_g -> Total_Calories -> BMI,True
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p010_constraint_nhanes_strict_tiers_edges.csv,directlingam_measure_pwling_threshold_0p010_constraint_nhanes_strict_tiers,True,14,49,True,Vigorous_Activity -> BMI,True,Total_Calories -> BMI,True,Protein_g -> Total_Calories -> BMI,True,Carbohydrates_g -> Total_Calories -> BMI,True
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p010_constraint_unconstrained_edges.csv,directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,True,14,53,True,Vigorous_Activity -> BMI,False,,False,,False,,False
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers_edges.csv,directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,True,14,44,True,Vigorous_Activity -> Waist_Circumference -> BMI,True,Total_Calories -> Waist_Circumference -> BMI,True,Protein_g -> Total_Calories -> Waist_Circumference -> BMI,True,Carbohydrates_g -> Total_Calories -> Waist_Circumference -> BMI,True
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p050_constraint_nhanes_strict_tiers_edges.csv,directlingam_measure_pwling_threshold_0p050_constraint_nhanes_strict_tiers,True,14,41,True,Vigorous_Activity -> BMI,True,Total_Calories -> Waist_Circumference -> BMI,True,Protein_g -> Total_Calories -> Waist_Circumference -> BMI,True,Carbohydrates_g -> Total_Calories -> Waist_Circumference -> BMI,True
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p050_constraint_unconstrained_edges.csv,directlingam_measure_pwling_threshold_0p050_constraint_unconstrained,True,14,44,True,Vigorous_Activity -> BMI,False,,False,,False,,False
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p060_constraint_nhanes_moderate_tiers_edges.csv,directlingam_measure_pwling_threshold_0p060_constraint_nhanes_moderate_tiers,True,14,41,True,Vigorous_Activity -> Waist_Circumference -> BMI,True,Total_Calories -> Waist_Circumference -> BMI,True,Protein_g -> Total_Calories -> Waist_Circumference -> BMI,True,Carbohydrates_g -> Total_Calories -> Waist_Circumference -> BMI,True
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p060_constraint_nhanes_strict_tiers_edges.csv,directlingam_measure_pwling_threshold_0p060_constraint_nhanes_strict_tiers,True,14,38,True,Vigorous_Activity -> Waist_Circumference -> BMI,True,Total_Calories -> Waist_Circumference -> BMI,True,Protein_g -> Total_Calories -> Waist_Circumference -> BMI,True,Carbohydrates_g -> Total_Calories -> Waist_Circumference -> BMI,True
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p060_constraint_unconstrained_edges.csv,directlingam_measure_pwling_threshold_0p060_constraint_unconstrained,True,14,41,True,Vigorous_Activity -> BMI,False,,False,,False,,False
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p070_constraint_nhanes_moderate_tiers_edges.csv,directlingam_measure_pwling_threshold_0p070_constraint_nhanes_moderate_tiers,True,14,35,True,Vigorous_Activity -> Waist_Circumference -> BMI,False,,True,Protein_g -> Dietary_Fiber_g -> Waist_Circumference -> BMI,True,Carbohydrates_g -> Dietary_Fiber_g -> Waist_Circumference -> BMI,False
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p070_constraint_nhanes_strict_tiers_edges.csv,directlingam_measure_pwling_threshold_0p070_constraint_nhanes_strict_tiers,True,14,33,True,Vigorous_Activity -> Waist_Circumference -> BMI,True,Total_Calories -> Waist_Circumference -> BMI,True,Protein_g -> Total_Calories -> Waist_Circumference -> BMI,True,Carbohydrates_g -> Total_Calories -> Waist_Circumference -> BMI,True
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p070_constraint_unconstrained_edges.csv,directlingam_measure_pwling_threshold_0p070_constraint_unconstrained,True,14,36,True,Vigorous_Activity -> BMI,False,,False,,False,,False
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p080_constraint_nhanes_moderate_tiers_edges.csv,directlingam_measure_pwling_threshold_0p080_constraint_nhanes_moderate_tiers,True,14,32,True,Vigorous_Activity -> Waist_Circumference -> BMI,False,,True,Protein_g -> Dietary_Fiber_g -> Waist_Circumference -> BMI,True,Carbohydrates_g -> Dietary_Fiber_g -> Waist_Circumference -> BMI,False
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p080_constraint_nhanes_strict_tiers_edges.csv,directlingam_measure_pwling_threshold_0p080_constraint_nhanes_strict_tiers,True,14,27,True,Vigorous_Activity -> Waist_Circumference -> BMI,False,,False,,False,,False
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p080_constraint_unconstrained_edges.csv,directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,True,14,34,True,Vigorous_Activity -> BMI,False,,False,,False,,False
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p090_constraint_nhanes_moderate_tiers_edges.csv,directlingam_measure_pwling_threshold_0p090_constraint_nhanes_moderate_tiers,True,14,29,True,Vigorous_Activity -> Waist_Circumference -> BMI,False,,False,,True,Carbohydrates_g -> Dietary_Fiber_g -> Waist_Circumference -> BMI,False
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p090_constraint_nhanes_strict_tiers_edges.csv,directlingam_measure_pwling_threshold_0p090_constraint_nhanes_strict_tiers,True,14,24,True,Vigorous_Activity -> Waist_Circumference -> BMI,False,,False,,False,,False
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p090_constraint_unconstrained_edges.csv,directlingam_measure_pwling_threshold_0p090_constraint_unconstrained,True,14,28,True,Vigorous_Activity -> BMI,False,,False,,False,,False
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p100_constraint_nhanes_moderate_tiers_edges.csv,directlingam_measure_pwling_threshold_0p100_constraint_nhanes_moderate_tiers,True,14,25,True,Vigorous_Activity -> Waist_Circumference -> BMI,False,,False,,False,,False
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers_edges.csv,directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,True,14,21,True,Vigorous_Activity -> Waist_Circumference -> BMI,False,,False,,False,,False
outputs/directlingam/graph_csvs/directlingam_measure_pwling_threshold_0p100_constraint_unconstrained_edges.csv,directlingam_measure_pwling_threshold_0p100_constraint_unconstrained,True,14,27,True,Vigorous_Activity -> BMI,False,,False,,False,,False
