graph,source,target,edge_type,matrix_i_j,matrix_j_i
pc_alpha_0p050_constraint_nhanes_strict_tiers,Age,Income_Ratio,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Age,Vigorous_Activity,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Age,Systolic_BP,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Gender,Vigorous_Activity,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Gender,Diastolic_BP,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Gender,Total_Calories,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Gender,Protein_g,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Income_Ratio,Vigorous_Activity,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Income_Ratio,Sedentary_Minutes,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Income_Ratio,Diastolic_BP,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Income_Ratio,Dietary_Fiber_g,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Waist_Circumference,BMI,directed,1,-1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Dietary_Fiber_g,BMI,directed,1,-1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Vigorous_Activity,Waist_Circumference,directed,1,-1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Sedentary_Minutes,Waist_Circumference,directed,1,-1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Waist_Circumference,Systolic_BP,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Vigorous_Activity,Dietary_Fiber_g,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Diastolic_BP,Systolic_BP,directed,1,-1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Total_Calories,Protein_g,undirected,-1,-1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Total_Calories,Carbohydrates_g,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Total_Calories,Total_Sugars_g,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Total_Calories,Dietary_Fiber_g,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Protein_g,Carbohydrates_g,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Protein_g,Total_Sugars_g,directed,-1,1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Total_Sugars_g,Carbohydrates_g,directed,1,-1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Dietary_Fiber_g,Carbohydrates_g,directed,1,-1
pc_alpha_0p050_constraint_nhanes_strict_tiers,Total_Sugars_g,Dietary_Fiber_g,directed,-1,1
